degree,number of vertices
4,10
5,2845
6,1894
7,1120
8,829
9,590
10,439
11,332
12,265
13,244
14,185
15,160
16,130
17,96
18,79
19,76
20,74
21,51
22,45
23,38
24,41
25,24
26,33
27,31
28,22
29,41
30,18
31,13
32,14
33,15
34,14
35,12
36,16
37,15
38,5
39,6
40,10
41,6
42,6
43,3
44,6
45,5
46,6
47,6
48,2
49,8
50,6
51,5
52,6
53,4
54,2
55,2
56,4
57,1
58,2
59,2
60,4
61,2
62,2
63,2
64,1
65,3
66,3
67,2
68,4
69,2
70,1
72,2
75,3
77,1
78,3
79,1
80,3
81,1
83,2
84,2
86,2
87,1
90,2
91,1
97,1
101,1
102,1
104,1
106,1
107,2
108,1
109,1
115,1
118,1
121,1
122,1
123,1
126,1
140,1
141,1
142,1
145,1
152,2
155,1
159,1
163,1
170,1
171,1
172,1
175,1
179,1
209,1
218,1
238,1
241,1
260,1
670,1
698,1
