degree,number of vertices
4,22
5,28693
6,17846
7,11828
8,8262
9,5998
10,4555
11,3459
12,2766
13,2191
14,1853
15,1562
16,1272
17,1046
18,797
19,787
20,624
21,525
22,495
23,453
24,379
25,329
26,320
27,274
28,245
29,205
30,201
31,168
32,179
33,163
34,145
35,124
36,108
37,98
38,107
39,88
40,78
41,80
42,75
43,92
44,62
45,52
46,54
47,60
48,51
49,50
50,48
51,52
52,41
53,44
54,31
55,36
56,29
57,22
58,29
59,34
60,20
61,23
62,27
63,23
64,30
65,20
66,20
67,24
68,18
69,20
70,17
71,17
72,14
73,12
74,18
75,8
76,11
77,23
78,11
79,8
80,11
81,15
82,7
83,8
84,7
85,7
86,10
87,15
88,4
89,9
90,7
91,2
92,4
93,11
94,8
95,7
96,4
97,7
98,7
99,4
100,7
101,3
102,8
103,6
104,3
105,2
106,3
107,6
108,6
109,9
110,2
111,2
112,3
113,5
114,1
115,8
116,5
117,4
118,1
119,1
120,2
121,3
122,3
123,3
124,3
125,2
126,3
127,6
128,5
129,1
130,3
131,2
132,3
133,6
134,3
135,5
136,1
138,3
139,2
140,4
141,1
142,2
143,1
144,2
145,1
146,1
147,3
148,1
149,2
150,3
151,2
152,2
153,1
154,2
156,3
157,2
159,2
161,2
163,3
164,1
165,2
166,1
167,2
168,3
169,1
171,1
173,1
174,1
175,2
176,3
177,1
179,2
180,1
181,1
183,1
184,1
188,1
190,1
191,1
193,2
194,1
196,2
197,2
198,2
201,1
202,1
205,1
206,2
207,2
208,2
209,1
210,1
211,1
213,1
216,1
218,2
220,2
222,3
224,1
226,1
234,1
236,1
240,1
242,1
250,1
254,1
255,1
257,1
260,1
263,1
265,1
275,1
279,1
280,2
281,1
288,1
292,1
299,1
302,1
306,1
314,1
325,1
337,1
341,2
352,1
372,1
383,1
386,1
394,1
404,1
443,1
449,1
459,1
485,1
499,2
508,1
513,1
652,1
707,1
717,1
786,1
834,1
916,1
995,1
1016,1
1108,1
1221,1
2810,1
